name,cuisinetype,rankingPosition,priceLevel,category,rating,address,numberOfReviews,latitude,longitude,postcode
1806,Bar,110,$$ - $$$,restaurant,4.5,"169 Exhibition St, Melbourne, Victoria 3000 Australia",259,-37.8116478,144.9701118,3000
+39 Pizzeria,Italian,48,$$ - $$$,restaurant,4.5,"362 Little Bourke St, Melbourne, Victoria 3000 Australia",1232,-37.8132826,144.9617644,3000
11 Inch Pizza,Italian,4,$,restaurant,4.5,"Shop 7A 353 Little Collins St, Melbourne, Victoria 3000 Australia",324,-37.8156004,144.9629205,3000
1932 Cafe & Restaurant,Australian,50,$$ - $$$,restaurant,4.5,"220 Collins St Manchester Unity Building, Melbourne, Victoria 3000 Australia",443,-37.8153266,144.9661686,3000
3 Brothersss Indian Restaurant,Indian,228,$$ - $$$,restaurant,5,"513 Elizabeth St Queen Victoria Market, Melbourne, Victoria 3000 Australia",41,-37.8075798,144.956785,3000
400 Gradi,Italian,1,$$ - $$$,restaurant,4,"99 Lygon St, Brunswick West, Moreland, Victoria 3057 Australia",773,-37.7759622,144.9705236,3057
A Hereford Beefstouw,Australian,139,$$ - $$$,restaurant,4.5,"22 Duckboard Pl, Melbourne, Victoria 3000 Australia",199,-37.8157961,144.9713157,3000
A25 Pizzeria CBD,Italian,363,$$ - $$$,restaurant,4.5,"Taylors College 399 Lonsdale St, Melbourne, Victoria 3000 Australia",77,-37.8129395,144.9606336,3000
Aagaman Indian Nepalese Restaurant,Indian,262,$$ - $$$,restaurant,4.5,"271 Bay St, Melbourne, Victoria 3207 Australia",132,-37.8373679,144.9428952,3207
Abbey Road Cafe,Australian,10,$$ - $$$,restaurant,4,"129-131 Acland St, St Kilda, Port Phillip, Victoria 3182 Australia",805,-37.8686333,144.9793638,3182
Abla's,Lebanese,316,$$ - $$$,restaurant,4,"109 Elgin St, Melbourne, Victoria 3053 Australia",204,-37.797763,144.971058,3053
Afternoon Tea at The Hotel Windsor,Australian,41,$$$$,restaurant,4.5,"111 Spring Street The Hotel Windsor, Melbourne, Victoria 3000 Australia",1508,-37.812125,144.9729651,3000
Aix Cafe,Cafe,358,$,restaurant,4.5,"24 Centre Pl, Melbourne, Victoria 3000 Australia",85,-37.8167121,144.9656432,3000
Amaru Melbourne Restaurant,Australian,1,$$$$,restaurant,4.5,"Shop 5 1121 High St, Armadale, Stonnington, Victoria 3143 Australia",118,-37.8558896,145.0246644,3143
American Doughnut Kitchen,American,374,$,restaurant,4.5,"Queen St, Melbourne, Victoria 3000 Australia",100,-37.8126386,144.9597071,3000
Amiconi,Italian,71,$$ - $$$,restaurant,4.5,"359 Victoria St Locality is West Melbourne, Melbourne, Victoria 3003 Australia",181,-37.8053936,144.9495793,3003
Anada,Spanish,17,$$ - $$$,restaurant,4.5,"197 Gertrude St, Fitzroy, Yarra, Victoria 3065 Australia",219,-37.805959,144.9811802,3065
Anchovy,Asian,11,$$ - $$$,restaurant,4.5,"338 Bridge Rd, Richmond, Yarra, Victoria 3121 Australia",93,-37.819114,145.0026469,3121
Andrew's Hamburgers,American,249,$,restaurant,4.5,"144 Bridport St, Melbourne, Victoria 3206 Australia",169,-37.8406353,144.9552576,3206
Angus & Bon,Australian,1,$$ - $$$,restaurant,4.5,"168 Greville Street, Prahran, Stonnington, Victoria 3181 Australia",168,-37.8496092,144.9922938,3181
Arbory Bar & Eatery,Australian,194,$$ - $$$,restaurant,4,"Flinders Walk, Melbourne, Victoria 3000 Australia",827,-37.8188668,144.9676883,3000
