name,cuisinetype,rankingPosition,priceLevel,category,rating,address,numberOfReviews
1806,,110,$$ - $$$,restaurant,4.5,"169 Exhibition St, Melbourne, Victoria 3000 Australia",259
+39 Pizzeria,,48,$$ - $$$,restaurant,4.5,"362 Little Bourke St, Melbourne, Victoria 3000 Australia",1232
11 Inch Pizza,,4,$,restaurant,4.5,"Shop 7A 353 Little Collins St, Melbourne, Victoria 3000 Australia",324
1932 Cafe & Restaurant,,50,$$ - $$$,restaurant,4.5,"220 Collins St Manchester Unity Building, Melbourne, Victoria 3000 Australia",443
3 Brothersss Indian Restaurant,,228,$$ - $$$,restaurant,5,"513 Elizabeth St Queen Victoria Market, Melbourne, Victoria 3000 Australia",41
400 Gradi,,1,$$ - $$$,restaurant,4,"99 Lygon St, Brunswick West, Moreland, Victoria 3057 Australia",773
A Hereford Beefstouw,,139,$$ - $$$,restaurant,4.5,"22 Duckboard Pl, Melbourne, Victoria 3000 Australia",199
A25 Pizzeria CBD,,363,$$ - $$$,restaurant,4.5,"Taylors College 399 Lonsdale St, Melbourne, Victoria 3000 Australia",77
Aagaman Indian Nepalese Restaurant,,262,$$ - $$$,restaurant,4.5,"271 Bay St, Melbourne, Victoria 3207 Australia",132
Abbey Road Cafe,,10,$$ - $$$,restaurant,4,"129-131 Acland St, St Kilda, Port Phillip, Victoria 3182 Australia",805
Abla's,,316,$$ - $$$,restaurant,4,"109 Elgin St, Melbourne, Victoria 3053 Australia",204
Afternoon Tea at The Hotel Windsor,,41,$$$$,restaurant,4.5,"111 Spring Street The Hotel Windsor, Melbourne, Victoria 3000 Australia",1508
Agathe Patisserie,,213,$,restaurant,4.5,"64/362 Coventry Street South Melbourne Market Stall, Melbourne, Victoria 3205 Australia",73
Aix Cafe,,358,$,restaurant,4.5,"24 Centre Pl, Melbourne, Victoria 3000 Australia",85
Amaru Melbourne Restaurant,,1,$$$$,restaurant,4.5,"Shop 5 1121 High St, Armadale, Stonnington, Victoria 3143 Australia",118
American Doughnut Kitchen,,374,$,restaurant,4.5,"Queen St, Melbourne, Victoria 3000 Australia",100
Amiconi,,71,$$ - $$$,restaurant,4.5,"359 Victoria St Locality is West Melbourne, Melbourne, Victoria 3003 Australia",181
Anada,,17,$$ - $$$,restaurant,4.5,"197 Gertrude St, Fitzroy, Yarra, Victoria 3065 Australia",219
Anchovy,,11,$$ - $$$,restaurant,4.5,"338 Bridge Rd, Richmond, Yarra, Victoria 3121 Australia",93
Andrew's Hamburgers,,249,$,restaurant,4.5,"144 Bridport St, Melbourne, Victoria 3206 Australia",169
Angus & Bon,,1,$$ - $$$,restaurant,4.5,"168 Greville Street, Prahran, Stonnington, Victoria 3181 Australia",168
Arbory Bar & Eatery,,194,$$ - $$$,restaurant,4,"Flinders Walk, Melbourne, Victoria 3000 Australia",827
Archie's All Day,,18,$$ - $$$,restaurant,4.5,"189 Gertrude St, Fitzroy, Yarra, Victoria 3065 Australia",162
Asado,,301,$$$$,restaurant,4,"6 Riverside Quay, Melbourne, Victoria 3006 Australia",211
At Ease - Easy Thai,,437,$,restaurant,4.5,"195 Lonsdale St, Melbourne, Victoria 3000 Australia",75
Atrium Bar On 35,,421,$$$$,restaurant,4.5,"25 Collins St, Melbourne, Victoria 3000 Australia",83
Atta Restaurant,,2,$$ - $$$,restaurant,4.5,"159-161 Victoria Ave Melbourne, Albert Park, Port Phillip, Victoria 3206 Australia",102
Attica,,1,$$$$,restaurant,4.5,"74 Glen Eira Rd, Ripponlea, Port Phillip, Victoria 3185 Australia",626
Auction Rooms,,57,$$ - $$$,restaurant,4.5,"103-107 Errol St, Melbourne, Victoria 3051 Australia",432
Avatar Indian Cuisine,,1,$$ - $$$,restaurant,4.5,"291 Whitehorse Rd Opposite Balwyn Park, Balwyn, Boroondara, Victoria 3103 Australia",88
