"cusinetype","name","address","max_reviews","max_avg_rating"
"Thai","Chin Chin","125 Flinders Lane, Melbourne, Victoria 3000 Australia",6029,"4.5"
"Italian","Brunetti Classico - Carlton","380 Lygon St 380 Lygon St, Carlton Vic, Melbourne, Victoria 3053 Australia",3247,"4.5"
"Spanish","Movida Bar de Tapas","1 Hosier Lane, Melbourne, Victoria 3000 Australia",2760,"4.5"
"Thai","Rice Paper Scissors","15 Hardware Lane, Melbourne, Victoria 3000 Australia",2701,"4.5"
"Dessert","Hopetoun Tea Rooms est. 1892","421 Bourke St Hopetoun Tea Rooms, Melbourne, Victoria 3000 Australia",2311,"4.5"
"European","Cumulus Inc.","45 Flinders La, Melbourne, Victoria 3000 Australia",2123,"4.5"
"Australian","Vue De Monde","525 Collins St Rialto Building 55th Floor, Melbourne, Victoria 3000 Australia",2035,"4.5"
"Steakhouse","Rockpool Bar & Grill","Crown Complex Southbank, Melbourne, Victoria 3006 Australia",1961,"4"
"Australian","The Hardware Societe","10 Katherine Pl, Melbourne, Victoria 3000 Australia",1879,"4.5"
"Thai","Red Spice Road","141 Queen St, Melbourne, Victoria 3000 Australia",1737,"4.5"
