name,cuisinetype,rankingPosition,priceLevel,category,rating,address,numberOfReviews,latitude,longitude,Postcode
1806,Bar,110,$$ - $$$,restaurant,4.5,"169 Exhibition St, Melbourne, Victoria 3000 Australia",259,-37.811624,144.970126,3000
+39 Pizzeria,Italian,48,$$ - $$$,restaurant,4.5,"362 Little Bourke St, Melbourne, Victoria 3000 Australia",1232,-37.81342245,144.9618978,3000
11 Inch Pizza,Italian,4,$,restaurant,4.5,"Shop 7A 353 Little Collins St, Melbourne, Victoria 3000 Australia",324,-37.8157451,144.9630281,3000
1932 Cafe & Restaurant,Australian,50,$$ - $$$,restaurant,4.5,"220 Collins St Manchester Unity Building, Melbourne, Victoria 3000 Australia",443,-37.815378,144.966169,3000
3 Brothersss Indian Restaurant,Indian,228,$$ - $$$,restaurant,5,"513 Elizabeth St Queen Victoria Market, Melbourne, Victoria 3000 Australia",41,-37.8068913,144.9595173,3000
400 Gradi,Italian,1,$$ - $$$,restaurant,4,"99 Lygon St, Brunswick West, Moreland, Victoria 3057 Australia",773,-37.7724565,144.9715405,3057
A Hereford Beefstouw,Australian,139,$$ - $$$,restaurant,4.5,"22 Duckboard Pl, Melbourne, Victoria 3000 Australia",199,-37.8157916,144.9713041,3000
A25 Pizzeria CBD,Italian,363,$$ - $$$,restaurant,4.5,"Taylors College 399 Lonsdale St, Melbourne, Victoria 3000 Australia",77,-37.812967,144.960657,3000
Aagaman Indian Nepalese Restaurant,Indian,262,$$ - $$$,restaurant,4.5,"271 Bay St, Melbourne, Victoria 3207 Australia",132,-37.8425339,144.938633,3207
Abbey Road Cafe,Australian,10,$$ - $$$,restaurant,4,"129-131 Acland St, St Kilda, Port Phillip, Victoria 3182 Australia",805,-37.86859626,144.9796587,3182
Abla's,Lebanese,316,$$ - $$$,restaurant,4,"109 Elgin St, Melbourne, Victoria 3053 Australia",204,-37.7977244,144.9710727,3053
Afternoon Tea at The Hotel Windsor,Australian,41,$$$$,restaurant,4.5,"111 Spring Street The Hotel Windsor, Melbourne, Victoria 3000 Australia",1508,-37.8094185,144.9720826,3000
Aix Cafe,Cafe,358,$,restaurant,4.5,"24 Centre Pl, Melbourne, Victoria 3000 Australia",85,-37.816712,144.965643,3000
Amaru Melbourne Restaurant,Australian,1,$$$$,restaurant,4.5,"Shop 5 1121 High St, Armadale, Stonnington, Victoria 3143 Australia",118,-37.85589,145.024664,3143
American Doughnut Kitchen,American,374,$,restaurant,4.5,"Queen St, Melbourne, Victoria 3000 Australia",100,-37.8109965,144.958967,3000
Amiconi,Italian,71,$$ - $$$,restaurant,4.5,"359 Victoria St Locality is West Melbourne, Melbourne, Victoria 3003 Australia",181,-37.808537,144.920974,3003
Anada,Spanish,17,$$ - $$$,restaurant,4.5,"197 Gertrude St, Fitzroy, Yarra, Victoria 3065 Australia",219,-37.8060231,144.9811507,3065
Anchovy,Asian,11,$$ - $$$,restaurant,4.5,"338 Bridge Rd, Richmond, Yarra, Victoria 3121 Australia",93,-37.81903827,145.0025891,3121
Andrew's Hamburgers,American,249,$,restaurant,4.5,"144 Bridport St, Melbourne, Victoria 3206 Australia",169,-37.840618,144.9552957,3206
Angus & Bon,Australian,1,$$ - $$$,restaurant,4.5,"168 Greville Street, Prahran, Stonnington, Victoria 3181 Australia",168,-37.849527,144.992318,3181
Arbory Bar & Eatery,Australian,194,$$ - $$$,restaurant,4,"Flinders Walk, Melbourne, Victoria 3000 Australia",827,-37.8188703,144.9677921,3000
